street,link,name,area,price,rooms
"Filtrowa, 00-001 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-75m2-nr-1337-609178004,,75.0,2900.0,3.0
"Drawska, 00-001 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-drawska-3pok-100m2-garaz-meble-3400-zl-609155600,,100.0,3400.0,3.0
"Krzywickiego /ok/., Ochota, Warszawa, mazowieckie, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-140m2-nr-1338-609178055,,140.0,5900.0,4.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/dom-warszawa-ochota-420m2-nr-1781w-609160709,,420.0,10000.0,6.0
"Szczęśliwice, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/sliczna-kawalerka-z-garazem-tuz-przy-parku-szczesliwickim-609165902,,30.0,1900.0,1.0
"Pilchowicka 8, 02-175 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/lokal-do-wynajecia-na-ochocie-w-poblizu-lotniska-okeci-609166646,,38.0,1390.0,1.0
"Pandy, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/2-pokojowe-57m2-ul-pandy-1189-482-omw-609166736,,57.0,2400.0,2.0
Ochota,http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/szukam-kawalerki-1200zl-za-miesiac-ursus-bemowo-wlochy-609166855,,,1200.0,1.0
"Antoniego Solariego, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-97-41m2-nr-58718-609166693,,98.0,10000.0,3.0
"Radomska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-radomska-2-pok-38-m-609166962,,38.0,1750.0,2.0
"Pilchowicka 8, 02-175 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/lokal-do-wynajecia-na-ochocie-w-poblizu-lotniska-okecie-609167430,,104.0,3400.0,4.0
"Stefana Banacha, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-ul-banacha-swietna-lokalizacja-pilne-609168968,,40.0,1950.0,2.0
"Juliana Ursyna Niemcewicza, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mieszkanie-warszawa-ochota-82m2-nr-1592-609169100,,82.0,3300.0,3.0
"Ochota, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/kawalerka-ochota-pogranicze-z-centrum-kopinska-pilne-609167499,,28.0,850.0,1.0
"Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/nowe-2-pokojowe-52m-ochota-okecie-prudnicka-609169967,,52.0,1650.0,2.0
"1 Sierpnia, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/wynajme-30-m-z-balkonem-ul-1-go-sierpnia-wlochy-609168836,,30.0,1400.0,1.0
"aleja Dwudziestolatków, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-dwudziestolatkow-2-pok-37-m-609170221,,37.0,1600.0,2.0
"Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/3-pokojowe-75m-ochota-ul-lechicka-609169913,,75.0,2500.0,3.0
Mazowieckie,http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/duza-kawalerka-swiezo-po-remoncie-609170705,,38.0,1650.0,1.0
"Opaczewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-opaczewska-4-pok-105-m-609159873,,105.0,4200.0,4.0
"Lirowa 33, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/atrakcyjne-2-pokojowe-mieszkanie-51m2-przy-ul-lirowej-na-ochocie-609157965,,51.0,1250.0,2.0
"Włodarzewska, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-wlodarzewska-4-pok-114-m-609160724,,114.0,4500.0,4.0
"Stefana Bobrowskiego, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/komfortowa-kawalerka-38m2-super-lokalizacja-609160389,,38.0,1500.0,1.0
"Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/mlode-odpowiedzialne-malzenstwo-poszukuje-mieszkania-na-dluzej-607614967,,44.0,1450.0,
"Stefana Banacha 12, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ladne-mieszkanie-na-stefana-banacha-609161479,,42.0,1800.0,2.0
"Lutniowa, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/bardzo-okazyjna-i-korzystna-cena-1100-zl-w-tym-czynsz-media-609161297,,42.0,1100.0,2.0
"Dickensa, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/ochota-dickensa-4-pok-137-m-609160329,,137.0,4900.0,4.0
"Aleje Jerozolimskie, 00-001 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/3-pokoje-48m2-blisko-blue-city-609160084,,48.0,2300.0,3.0
"Opaczewska, 00-001 Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/dom-warszawa-ochota-196m2-nr-1222-609161990,,196.0,5100.0,5.0
"aleja Bohaterów Września 1, Warszawa, Polska",http://www.gumtree.pl/cp-mieszkania-i-domy-do-wynajecia/ochota/dwupokojowe-wysoki-standard-ochota-aleja-bohaterow-wrzesnia-1-609162184,,43.0,2000.0,2.0
